6502 pin, Header no., FPGA-EB name, FPGA pin
D0, 29, RASP_IO05, U3
D1, 31, RASP_IO06, U4
D2, 32, RASP_IO12, V4
D3, 33, RASP_IO13, U5
D4, 36, RASP_IO16, W4
D5, 35, RASP_IO19, W3
D6, 38, RASP_IO20, Y2
D7, 40, RASP_IO21, Y3
A0, 37, RASP_IO26, P7
A1, 28, RASP_ID_SC, T7
A2, 27, RASP_ID_SD, V5
A3, 13, RASP_IO27, P5
A4, 22, RASP_IO25, R5
A5, 18, RASP_IO24, R4
A6, 16, RASP_IO23, R3
A7, 15, RASP_IO22, P6
A8, 12, RASP_IO18, N7
A9, 11, RASP_IO17, N6
A10, 7, RASP_IO04, T6
A11, 26, RASP_IO07, T5
A12, 24, RASP_IO08, T4
A13, 19, RASP_IO10, R6
FPGASELB, 21, RASP_IO09, R7
RWB, 23, RASP_IO11, T3
IRQB, 10, RASP_IO15, N5
RESB, 8, RASP_IO14, P4
PH0-IN, 5, RASP_IO03, V1
